datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,rmccp,rmpcp,total_pjm_rt_load_mwh,total_pjm_loc_credit,total_pjm_reg_purchases,total_pjm_self_sched_reg,total_pjm_assigned_reg,total_pjm_rmccp_cr,total_pjm_rmpcp_cr
6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,6/1/2021 4:00:00 AM,6/1/2021 12:00:00 AM,5.93,2.89,66347.23700,174.95763,522.49304,242.32670,343.01023,3497.49,2613.39
6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,6/1/2021 3:00:00 AM,5/31/2021 11:00:00 PM,17.27,0.81,70934.21200,710.84636,553.17585,252.68254,369.29718,10745.13,1644.55
6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,6/1/2021 2:00:00 AM,5/31/2021 10:00:00 PM,15.14,0.83,74721.74900,1694.13452,601.12396,204.38500,418.09243,9456.04,1184.71
6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,6/1/2021 1:00:00 AM,5/31/2021 9:00:00 PM,15.14,0.69,74844.63000,826.98970,600.30773,208.48378,415.67287,9446.53,1467.44
5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,6/1/2021 12:00:00 AM,5/31/2021 8:00:00 PM,8.25,0.77,74566.72000,589.02247,571.83169,248.04647,365.44680,5067.70,1797.60
5/31/2021 10:00:00 PM,5/31/2021 6:00:00 PM,5/31/2021 11:00:00 PM,5/31/2021 7:00:00 PM,12.42,0.56,74383.21500,1301.06434,626.32992,257.89529,406.17664,8248.90,1357.20
5/31/2021 9:00:00 PM,5/31/2021 5:00:00 PM,5/31/2021 10:00:00 PM,5/31/2021 6:00:00 PM,10.59,1.25,73293.81100,369.06338,603.79659,205.57271,420.48852,6630.14,2196.89
5/31/2021 8:00:00 PM,5/31/2021 4:00:00 PM,5/31/2021 9:00:00 PM,5/31/2021 5:00:00 PM,4.07,0.82,71212.99400,1700.26571,415.58629,196.55519,230.93543,1740.78,1131.13
5/31/2021 7:00:00 PM,5/31/2021 3:00:00 PM,5/31/2021 8:00:00 PM,5/31/2021 4:00:00 PM,2.80,1.09,69455.33800,946.29894,360.07454,230.79901,180.17686,1170.60,1060.62
5/31/2021 6:00:00 PM,5/31/2021 2:00:00 PM,5/31/2021 7:00:00 PM,5/31/2021 3:00:00 PM,3.22,0.64,68632.70700,524.00377,389.28060,247.64268,197.10461,1434.92,1166.40
